,Company Name,Address
0,Binding Minds,"Sector 62, Noida, U.P."
1,EATEAM,"Door no 40-7-2, Venkatabalaji Towers, Near Jammichettu center, Mogalrajapuram, Vijaywada, Krishna, Andhra Pradesh, 520002"
